english,pos,lang1_form,language,candidate_form,similarity,method,sentence_id,sentence_length
to flee/to run,VB,fudubóromu,lang4,pàlúmṹdórúmã,0.4545,search,78,7
to flee/to run,VB,fudubóromu,lang4,fúúràmṹ,0.7059,search,78,7
to flee/to run,VB,fudubóromu,lang5,pàlumudóruma,0.4545,search,12,5
to flee/to run,VB,fudubóromu,lang7,fúúròmṹ,0.8235,search,6,7
to flee/to run,VB,fudubóromu,lang7,pòlúmṹdórúmõ̀gù,0.5,search,59,6
to flee/to run,VB,fudubóromu,lang7,fúúròmṹnṹ,0.7368,search,59,6
to flee/to run,VB,fudubóromu,lang7,òrúúngòmṹmṹ,0.4762,search,59,6
judge,NN,téme,lang3,ídémẽnĩ́mĩ,0.4615,search,13,7
judge,NN,téme,lang5,idémenimi,0.4615,search,90,7
judge,NN,téme,lang6,idémẽnĩmĩ,0.4615,search,33,6
judge,NN,téme,lang6,tímẽge,0.6,search,34,8
judge,NN,téme,lang6,idémẽnĩmĩ,0.4615,search,34,8
judge,NN,téme,lang6,héré,0.5,search,34,8
judge,NN,téme,lang6,tímẽ,0.75,search,34,8
judge,NN,téme,lang6,tímẽge,0.6,search,110,8
judge,NN,téme,lang6,idémẽnĩmĩ,0.4615,search,110,8
judge,NN,téme,lang6,héré,0.5,search,110,8
judge,NN,téme,lang6,tímẽ,0.75,search,110,8
critic,NN,támodóruma,lang3,tàmõdrúmã̀gook,0.7826,search,13,7
critic,NN,támodóruma,lang3,tàvóvúmã̀lú,0.6,search,13,7
critic,NN,támodóruma,lang5,Tàmodórumàgo,0.9091,search,90,7
critic,NN,támodóruma,lang5,upàruma,0.5882,search,90,7
critic,NN,támodóruma,lang6,tamõdórumãgo,0.9091,search,33,6
critic,NN,támodóruma,lang6,tóralunãrumãgo,0.5,search,33,6
critic,NN,támodóruma,lang6,tamõdórumã,1.0,search,57,6
boat,NN,púda,lang5,púda,1.0,search,95,6
boat,NN,púda,lang5,udúràmumu,0.4615,search,95,6
Mrs. (honorific senior female),NN,mágizi,lang4,mã̀qgízíqgì,0.75,search,113,4
to say/to tell,VB,tálimi,lang2,ídàlímíngíngímí,0.4762,search,1,6
way/manner,NN,vérizi,lang2,hérì,0.6,search,44,7
way/manner,NN,vérizi,lang2,ngéràní,0.4615,search,44,7
way/manner,NN,vérizi,lang2,Sélímí,0.5,search,81,4
way/manner,NN,vérizi,lang3,nẽ́rílí,0.6667,search,55,7
way/manner,NN,vérizi,lang3,ívézímĩ́mĩ,0.5333,search,55,7
way/manner,NN,vérizi,lang3,ízàmĩ́mĩ,0.4615,search,76,9
way/manner,NN,vérizi,lang4,ízàmĩ́mĩ,0.4615,search,93,4
way/manner,NN,vérizi,lang6,dzéranĩ,0.4615,search,11,9
way/manner,NN,vérizi,lang6,kélirivérizi,0.6667,search,91,8
way/manner,NN,vérizi,lang7,ngérènĩ,0.4615,search,73,5
all/each,DT,zéreniri,lang2,élìlí,0.4615,search,19,5
all/each,DT,zéreniri,lang2,Níì,0.5455,search,27,5
all/each,DT,zéreniri,lang2,Níì,0.5455,search,35,5
all/each,DT,zéreniri,lang2,ígérímàmí,0.4706,search,37,5
all/each,DT,zéreniri,lang2,Níì,0.5455,search,39,4
all/each,DT,zéreniri,lang2,þàdéngàrí,0.4706,search,39,4
all/each,DT,zéreniri,lang2,Hérì,0.5,search,41,6
all/each,DT,zéreniri,lang2,níì,0.5455,search,41,6
all/each,DT,zéreniri,lang2,hérì,0.5,search,44,7
all/each,DT,zéreniri,lang2,ngéràní,0.5333,search,44,7
all/each,DT,zéreniri,lang2,nílí,0.5,search,55,6
all/each,DT,zéreniri,lang2,téngímílí,0.4706,search,55,6
all/each,DT,zéreniri,lang2,Níì,0.5455,search,94,7
all/each,DT,zéreniri,lang2,nílí,0.5,search,94,7
all/each,DT,zéreniri,lang2,ngérìnírílí,0.6316,search,94,7
all/each,DT,zéreniri,lang2,ídérímímí,0.4706,search,94,7
all/each,DT,zéreniri,lang3,hére,0.5,search,6,8
all/each,DT,zéreniri,lang3,hére,0.5,search,58,9
all/each,DT,zéreniri,lang3,héré,0.5,search,63,8
all/each,DT,zéreniri,lang3,hére,0.5,search,112,9
all/each,DT,zéreniri,lang3,íínferenĩ,0.5882,search,112,9
all/each,DT,zéreniri,lang3,hére,0.5,search,112,9
all/each,DT,zéreniri,lang3,nẽ́rílíverízí,0.5,search,112,9
all/each,DT,zéreniri,lang3,líízéràverízí,0.5714,search,112,9
all/each,DT,zéreniri,lang4,líízìrànĩ,0.4706,search,4,5
all/each,DT,zéreniri,lang4,hérì,0.5,search,38,9
all/each,DT,zéreniri,lang4,ígérímã̀mĩ,0.4706,search,38,9
all/each,DT,zéreniri,lang4,ízéràdímĩ,0.5882,search,41,6
all/each,DT,zéreniri,lang4,Nĩ́ĩ,0.5455,search,42,5
all/each,DT,zéreniri,lang4,ðdénĩ́lí,0.5333,search,42,5
all/each,DT,zéreniri,lang4,dzìħríslí,0.4706,search,51,5
all/each,DT,zéreniri,lang4,ízérímĩ́zízímĩ,0.4762,search,51,5
all/each,DT,zéreniri,lang4,Nĩ́ĩ,0.5455,search,57,6
all/each,DT,zéreniri,lang4,hérì,0.5,search,58,8
all/each,DT,zéreniri,lang4,ðdénĩ́dénĩ́lí,0.5263,search,58,8
all/each,DT,zéreniri,lang4,ízérímĩ́dérímĩ́mĩ,0.5217,search,58,8
all/each,DT,zéreniri,lang4,Héré,0.5,search,70,8
all/each,DT,zéreniri,lang4,félírínĩ,0.5,search,72,4
all/each,DT,zéreniri,lang4,Nĩ́ĩ,0.5455,search,96,5
all/each,DT,zéreniri,lang4,ðdénĩ́lí,0.5333,search,96,5
all/each,DT,zéreniri,lang5,igérimàmi,0.4706,search,4,6
all/each,DT,zéreniri,lang5,Héré,0.5,search,7,8
all/each,DT,zéreniri,lang5,téngimili,0.4706,search,7,8
all/each,DT,zéreniri,lang5,nili,0.5,search,15,7
all/each,DT,zéreniri,lang5,hére,0.5,search,26,9
all/each,DT,zéreniri,lang5,ngdéngàri,0.4706,search,38,4
all/each,DT,zéreniri,lang5,ngdéngàri,0.4706,search,58,5
all/each,DT,zéreniri,lang5,nili,0.5,search,64,7
all/each,DT,zéreniri,lang5,téngimili,0.4706,search,64,7
all/each,DT,zéreniri,lang5,Hére,0.5,search,107,6
all/each,DT,zéreniri,lang6,dzérenĩri,0.9412,search,107,7
all/each,DT,zéreniri,lang6,hére,0.5,search,107,7
all/each,DT,zéreniri,lang6,bvérizinĩ,0.4706,search,107,7
all/each,DT,zéreniri,lang7,nẽ́rílí,0.5714,search,5,7
all/each,DT,zéreniri,lang7,hérìgì,0.5714,search,9,3
all/each,DT,zéreniri,lang7,Héré,0.5,search,18,10
all/each,DT,zéreniri,lang7,ègérímĩ́mĩ,0.4706,search,18,10
all/each,DT,zéreniri,lang7,nẽ́rímĩ́lí,0.5,search,18,10
all/each,DT,zéreniri,lang7,vvérìnĩ,0.5333,search,18,10
all/each,DT,zéreniri,lang7,térímĩ,0.5714,search,18,10
all/each,DT,zéreniri,lang7,Nĩ́ĩ,0.5455,search,42,7
all/each,DT,zéreniri,lang7,nĩ́lí,0.5,search,42,7
all/each,DT,zéreniri,lang7,Nĩ́ĩ,0.5455,search,53,5
all/each,DT,zéreniri,lang7,nẽ́rílí,0.5714,search,67,5
all/each,DT,zéreniri,lang7,Nĩ́ĩ,0.5455,search,76,8
all/each,DT,zéreniri,lang7,héré,0.5,search,76,8
always,RB,zérani,lang4,ízàmĩ́mĩ,0.4615,search,93,4
tea,NN,téziri,lang4,tàgézí,0.6667,search,5,5
tea,NN,téziri,lang4,ðdénĩ́lí,0.4615,search,42,5
tea,NN,téziri,lang4,dzìħríslí,0.5333,search,51,5
tea,NN,téziri,lang4,tézímĩ́lí,0.7143,search,70,8
tea,NN,téziri,lang4,ðdénĩ́lí,0.4615,search,96,5
tea,NN,téziri,lang5,téngimili,0.5333,search,7,8
tea,NN,téziri,lang5,Teli,0.6,search,67,7
tea,NN,téziri,lang5,kélirinàni,0.5,search,88,9
tea,NN,téziri,lang7,nẽ́rílí,0.5,search,5,7
tea,NN,téziri,lang7,nẽ́rílí,0.5,search,67,5
to flow,VB,mézimi,lang3,ízàmĩ́mĩ,0.6154,search,80,6
to flow,VB,mézimi,lang3,kíírímĩ,0.4615,search,88,5
to flow,VB,mézimi,lang3,ígélímĩ́mĩ,0.5333,search,88,5
to flow,VB,mézimi,lang4,kíírímĩ,0.4615,search,79,6
to flow,VB,mézimi,lang4,ígérímã̀mĩ,0.5333,search,79,6
to flow,VB,mézimi,lang7,ígérímĩ́mĩ,0.5333,search,26,5
to flow,VB,mézimi,lang7,qíírímĩ,0.4615,search,108,6
to be born,VB,múranutórumu,lang6,nãrumãnãrumãgo,0.4615,search,107,7
to be born,VB,múranutórumu,lang6,mṹranũlu,0.7,search,107,7
to be born,VB,múranutórumu,lang6,umṹranũtórumũmũ,0.8889,search,107,7
April,NNP,Kúrumuvóruma,lang2,ħħórúmúvórúmànú,0.7407,search,15,6
April,NNP,Kúrumuvóruma,lang2,ħħórúmúvórúmànú,0.7407,search,50,9
April,NNP,Kúrumuvóruma,lang2,fúúdúrúlú,0.4762,search,50,9
April,NNP,Kúrumuvóruma,lang2,ħħórúmúvórúmànú,0.7407,search,69,4
April,NNP,Kúrumuvóruma,lang2,ħħórúmúvórúmànú,0.7407,search,71,5
April,NNP,Kúrumuvóruma,lang3,Kúúrúmṹvórúmã̀nṹ,0.8889,search,18,9
April,NNP,Kúrumuvóruma,lang3,údrúmṹmmõ,0.5714,search,18,9
April,NNP,Kúrumuvóruma,lang4,tàħórúmṹvórúmã̀nṹ,0.7143,search,25,6
April,NNP,Kúrumuvóruma,lang4,tàħórúmṹvórúmã̀nṹ,0.7143,search,49,5
April,NNP,Kúrumuvóruma,lang6,taħórumũvórumãnũ,0.7143,search,40,6
April,NNP,Kúrumuvóruma,lang6,lúmũralu,0.5,search,40,6
to play,VB,pálumu,lang3,pàlúmṹ,1.0,search,72,4
to play,VB,pálumu,lang3,lúú,0.6667,search,72,4
to be careful,VB,vérima,lang4,ígérímã̀zízímĩ,0.5263,search,111,5
energy,NN,zérimi,lang7,hélímĩ,0.6667,search,81,8
energy,NN,zérimi,lang7,hérì,0.6,search,81,8
energy,NN,zérimi,lang7,ngérìnĩ,0.6154,search,81,8
energy,NN,zérimi,lang7,ngérímĩ,0.7692,search,81,8
energy,NN,zérimi,lang7,ímẽ́rímĩ́mĩ,0.6667,search,81,8
to recover/regain,VB,mérimi,lang6,idérimĩdérimĩmĩ,0.5714,search,5,8
to recover/regain,VB,mérimi,lang6,imẽ́rimĩgemẽ,0.7059,search,5,8
to recover/regain,VB,mérimi,lang7,hélímĩ,0.6667,search,81,8
to recover/regain,VB,mérimi,lang7,hérì,0.6,search,81,8
to recover/regain,VB,mérimi,lang7,ngérìnĩ,0.6154,search,81,8
to recover/regain,VB,mérimi,lang7,ngérímĩ,0.7692,search,81,8
to recover/regain,VB,mérimi,lang7,ímẽ́rímĩ́mĩ,0.8,search,81,8
bus,NN,trávumudógoru,lang6,Travumũdógoru,1.0,search,112,6
bus,NN,trávumudógoru,lang6,þadórumãdórumãgo,0.4828,search,112,6
snow,NN,súnaru,lang3,úzúúnã̀rúnṹmṹ,0.5556,search,90,3
music,NN,límeri,lang7,hélímĩ,0.6667,search,77,5
life,NN,múranu,lang4,mṹṹrúmṹṹrú,0.5,search,16,9
life,NN,múranu,lang4,mṹṹrànṹlú,0.8,search,16,9
life,NN,múranu,lang4,mṹṹrúmṹṹrú,0.5,search,16,9
life,NN,múranu,lang4,mṹṹrúnṹ,0.7692,search,16,9
Swedish,JJ,Swidi,lang5,Swidiqge,0.7692,search,2,6
Swedish,JJ,Swidi,lang6,Swidige,0.8333,search,66,5
Swedish,JJ,Swidi,lang6,Swidige,0.8333,search,80,6
director,NN,tóralugóruama,lang2,tóràlúgórúàmàgà,0.9286,search,101,5
death,NN,míraninéri,lang6,mĩ́ranũnẽ́rili,0.8182,search,80,6
hand,NN,lóra,lang7,lóròdòngò,0.4615,search,42,7
to ache,VB,kérimi,lang2,íngérímíngíhímí,0.4762,search,6,5
to ache,VB,kérimi,lang2,Hérì,0.6,search,41,6
to ache,VB,kérimi,lang2,llímímí,0.4615,search,41,6
to ache,VB,kérimi,lang2,téngímílí,0.5333,search,55,6
to ache,VB,kérimi,lang2,ígéngímímí,0.5,search,98,7
to ache,VB,kérimi,lang2,tíírímí,0.6154,search,115,5
to ache,VB,kérimi,lang4,ðdénĩ́lí,0.4615,search,42,5
to ache,VB,kérimi,lang4,ízérímĩ́zízímĩ,0.5263,search,51,5
to ache,VB,kérimi,lang4,tézímĩ́lí,0.5714,search,70,8
to ache,VB,kérimi,lang4,íqgélímĩ́mĩ,0.5,search,70,8
to ache,VB,kérimi,lang4,férímã̀làqgà,0.4706,search,70,8
to ache,VB,kérimi,lang4,ðdénĩ́lí,0.4615,search,96,5
to ache,VB,kérimi,lang5,téngimili,0.5333,search,7,8
to ache,VB,kérimi,lang5,iqgélimimi,0.5,search,7,8
to ache,VB,kérimi,lang5,kérimàlàqgà,0.5882,search,7,8
to ache,VB,kérimi,lang5,qírimi,0.6667,search,15,7
to ache,VB,kérimi,lang5,qírimili,0.5714,search,28,4
to ache,VB,kérimi,lang5,ingérimingingimi,0.4545,search,38,4
to ache,VB,kérimi,lang5,kérimàlàqgà,0.5882,search,53,5
to ache,VB,kérimi,lang5,téngimili,0.5333,search,64,7
to ache,VB,kérimi,lang5,qírimili,0.5714,search,102,4
to ache,VB,kérimi,lang5,ingérimingingimi,0.4545,search,106,6
to ache,VB,kérimi,lang5,ibàrimimi,0.5333,search,107,6
to ache,VB,kérimi,lang7,nẽ́rílí,0.6667,search,5,7
to ache,VB,kérimi,lang7,èvérímĩ́gìmĩ,0.5882,search,5,7
to ache,VB,kérimi,lang7,qíírímĩ,0.6154,search,42,7
to ache,VB,kérimi,lang7,nẽ́rílí,0.6667,search,67,5
to ache,VB,kérimi,lang7,tèlímĩ́mẽ̀ngè,0.4706,search,76,8
to count,VB,kérimi,lang6,kélirinãvélirinã,0.4545,search,72,4
to possess/own,VB,páruma,lang2,àngàrúmùmú,0.5,search,25,9
to possess/own,VB,páruma,lang2,nórúmú,0.5,search,25,9
to possess/own,VB,páruma,lang2,þàdórúmàmúúrú,0.5263,search,92,5
to possess/own,VB,páruma,lang3,àvérímã̀mĩ,0.5333,search,15,8
to possess/own,VB,páruma,lang3,lórúmãã,0.6154,search,36,8
to possess/own,VB,páruma,lang3,Þàdrúmṹgook,0.4706,search,58,9
to possess/own,VB,páruma,lang3,mã̀nã̀rú,0.5,search,58,9
to possess/own,VB,páruma,lang3,úmã̀nã̀rúmã̀mṹ,0.5882,search,58,9
to possess/own,VB,páruma,lang4,ðbàrúmṹgù,0.5333,search,24,6
to possess/own,VB,páruma,lang4,àvúúrúmṹvàrúmṹmṹ,0.4545,search,24,6
to possess/own,VB,páruma,lang4,úbàrúmã̀mṹ,0.6667,search,100,5
to possess/own,VB,páruma,lang5,hàgúra,0.5,search,15,7
to possess/own,VB,páruma,lang5,tàħàrumushdàgo,0.5,search,19,6
to possess/own,VB,páruma,lang5,lúmura,0.5,search,19,6
to possess/own,VB,páruma,lang5,púda,0.6,search,95,6
to possess/own,VB,páruma,lang6,mãzumũ,0.5,search,49,3
to possess/own,VB,páruma,lang6,ubarumãmũ,0.6667,search,56,6
shimmer,NN,glíza,lang6,Þaglízamĩ,0.7143,search,14,5
caffeinated,JJ,kávuruzúra,lang7,kòvúrúngúúròngò,0.56,search,10,5
snacker,NN,sánumunáru,lang3,sànṹmṹnã̀rúgo,0.9091,search,100,7
tired,JJ,zérimidérimali,lang2,ngérímídérímàngérímídérímàlí,0.619,search,44,7
tired,JJ,zérimidérimali,lang2,íngàmímí,0.4545,search,44,7
tired,JJ,zérimidérimali,lang2,ígéngímímí,0.5,search,44,7
tired,JJ,zérimidérimali,lang5,dngérimidérimàli,0.8667,search,80,7
tired,JJ,zérimidérimali,lang5,ieliríngimimili,0.5517,search,80,7
tired,JJ,zérimidérimali,lang6,dzérimĩdérimãli,0.9655,search,85,6
tired,JJ,zérimidérimali,lang6,izamĩmĩ,0.4762,search,85,6
tired,JJ,zérimidérimali,lang6,dzérimĩdérimãli,0.9655,search,99,5
tired,JJ,zérimidérimali,lang6,idézimĩmĩ,0.5217,search,99,5
professor,NN,zúramáguzúra,lang5,dngúràmàgungúràngúràmàgungúra,0.4878,search,67,7
nuisance,NN,kérimoshtórumodóruma,lang5,qérimoshtórumodóruma,0.95,search,26,9
ice cream,NN,súnaruzánomu,lang6,súnãruzanõmũlu,0.9231,search,82,5
ice cream,NN,súnaruzánomu,lang7,ngdórúmõ̀gù,0.4545,search,22,4
ice cream,NN,súnaruzánomu,lang7,mṹṹrònṹngólúnṹ,0.4615,search,22,4
stately,JJ,máguzulu,lang6,mãguzulu,1.0,search,92,6
fish,NN,nímera,lang2,Níímìràgùùg,0.5882,search,102,4
fish,NN,nímera,lang2,níímìràqgì,0.625,search,102,4
fish,NN,nímera,lang4,pìnĩ́ĩ́mĩ̀ràqgà,0.5556,search,2,4
red,JJ,xáru,lang3,xórúmõ,0.6,search,17,8
red,JJ,xáru,lang3,mṹṹnã̀rúnṹ,0.4615,search,86,6
red,JJ,xáru,lang3,tàħórúmṹ,0.5,search,100,7
red,JJ,xáru,lang3,mã̀nã̀rú,0.6,search,101,8
red,JJ,xáru,lang4,tànṹrú,0.6,search,15,4
mathematician,NN,kérimeshdérima,lang7,Kérímĩ̀shdérímõ̀gòòg,0.75,search,38,4
mathematician,NN,kérimeshdérima,lang7,qérímĩ̀shlí,0.5833,search,38,4
mathematician,NN,kérimeshdérima,lang7,hérímĩ́nĩ́ngérèdèrímẽ̀ngè,0.5556,search,38,4
scientist,NN,sériminizéradarima,lang2,Sélímílí,0.4615,search,24,6
scientist,NN,sériminizéradarima,lang2,hérímíníngéràdàrímàqgììd,0.7619,search,24,6
to run,VB,rúzamu,lang5,àrúngàmungungumu,0.4545,search,12,5
conscience,NN,gorumaluxórumu,lang4,dzàrúmṹ,0.4762,search,114,5
conscience,NN,gorumaluxórumu,lang4,ðgùrúmã̀lúghórúmṹ,0.8,search,114,5
conscience,NN,gorumaluxórumu,lang4,údórúmṹzúbúmṹ,0.5926,search,114,5
kilometer,NN,kílimiri,lang5,qílimiri,0.875,search,12,5
binoculars,NN,múrudógoru,lang6,mṹrudógorugo,0.9091,search,54,5
binoculars,NN,múrudógoru,lang6,túrumũgo,0.5556,search,54,5
to get married,VB,númazamu,lang2,àngàrúmùmú,0.5556,search,25,9
to get married,VB,númazamu,lang2,nórúmú,0.5714,search,25,9
to get married,VB,númazamu,lang2,ànúúmàngàmúgùmù,0.6087,search,25,9
to get married,VB,númazamu,lang2,údórúmúmú,0.4706,search,99,6
to get married,VB,númazamu,lang3,lórúmã̀lú,0.5,search,5,6
to get married,VB,númazamu,lang3,mṍzúmṹlú,0.5,search,42,6
to get married,VB,númazamu,lang3,mã̀yspànõmṹ,0.5556,search,66,5
to get married,VB,númazamu,lang3,àzàlúmṹmṹ,0.5882,search,66,5
to get married,VB,númazamu,lang3,mã̀nã̀rúmã̀mṹ,0.6667,search,104,8
to get married,VB,númazamu,lang4,mã̀nã̀rú,0.5714,search,22,5
to get married,VB,númazamu,lang4,àzàlúmṹzúmṹ,0.5263,search,103,7
to get married,VB,númazamu,lang5,udórumomu,0.4706,search,46,6
to get married,VB,númazamu,lang5,uvàlumu,0.5333,search,81,9
to get married,VB,númazamu,lang5,ngdórumu,0.5,search,94,7
to get married,VB,númazamu,lang5,màyhpànomu,0.5556,search,94,7
to get married,VB,númazamu,lang5,ungàlumu,0.5,search,94,7
to get married,VB,númazamu,lang7,ngbórùmṹ,0.5,search,12,6
to get married,VB,númazamu,lang7,údólúmṹmṹ,0.4706,search,54,10
to get married,VB,númazamu,lang7,òdólúmṹmṹ,0.4706,search,54,10
good,JJ,górumalu,lang2,þàdórúmàmúúrú,0.5714,search,92,5
age/era,NN,vórunu,lang2,tóràlúnàrúmàgà,0.5,search,1,6
age/era,NN,vórunu,lang2,púúrúmúnú,0.5333,search,1,6
age/era,NN,vórunu,lang2,tógùrúlú,0.5714,search,60,8
age/era,NN,vórunu,lang3,lórúmã̀lú,0.5714,search,5,6
age/era,NN,vórunu,lang3,lórúmãã,0.4615,search,55,7
age/era,NN,vórunu,lang3,lórúmã̀mṹ,0.5714,search,99,8
age/era,NN,vórunu,lang3,lórúmãã,0.4615,search,99,8
age/era,NN,vórunu,lang3,lórúmãã,0.4615,search,99,8
age/era,NN,vórunu,lang3,lórúmãã,0.4615,search,108,9
age/era,NN,vórunu,lang4,lórúmã,0.5,search,109,4
age/era,NN,vórunu,lang5,lóruma,0.5,search,41,7
age/era,NN,vórunu,lang5,lóruma,0.5,search,41,7
age/era,NN,vórunu,lang5,lóruma,0.5,search,107,6
age/era,NN,vórunu,lang6,kavuru,0.5,search,34,8
age/era,NN,vórunu,lang6,lórumã,0.5,search,95,8
age/era,NN,vórunu,lang6,kavuru,0.5,search,110,8
season,NN,tóruvoru,lang6,bvórã,0.4615,search,57,6
season,NN,tóruvoru,lang6,tamõdórumã,0.5556,search,57,6
season,NN,tóruvoru,lang6,uvóruzamũ,0.5882,search,57,6
hobby,NN,fólumugóruama,lang4,fólúmṹzérímĩ,0.64,search,32,7
to hike,VB,túra,lang5,túra,1.0,search,81,9
a hike,NN,túramu,lang5,túra,0.8,search,81,9
a hike,NN,túramu,lang5,tírimi,0.5,search,81,9
a hike,NN,túramu,lang5,kàvuru,0.5,search,81,9
a hike,NN,túramu,lang5,uvàlumu,0.6154,search,81,9
a hike,NN,túramu,lang6,túramũ,1.0,search,26,7
a hike,NN,túramu,lang6,udúramũ,0.7692,search,106,7
easy/simple,JJ,sélireli,lang5,Héré,0.5,search,85,8
easy/simple,JJ,sélireli,lang5,hélireli,0.875,search,85,8
winter,NN,ħórumu-vóruma,lang3,tàħórúmṹnṹ,0.6087,search,90,3
later,RB,márali,lang4,Mã̀ràlí,1.0,search,81,4
system,NN,dórava,lang7,ngdóròvòngò,0.4706,search,5,7
system,NN,dórava,lang7,ngdóròvòngò,0.4706,search,89,7
to evoke/to awaken,VB,vóna,lang2,úvónàmú,0.7273,search,106,6
to evoke/to awaken,VB,vóna,lang3,tàvónã̀mṹ,0.6667,search,2,7
to evoke/to awaken,VB,vóna,lang5,bvónàmu,0.7273,search,29,8
to evoke/to awaken,VB,vóna,lang5,uvónàmu,0.7273,search,49,5
to evoke/to awaken,VB,vóna,lang6,bvónãlu,0.7273,search,17,7
to evoke/to awaken,VB,vóna,lang6,bvónãmũ,0.7273,search,37,7
to evoke/to awaken,VB,vóna,lang6,rénã,0.5,search,43,6
to evoke/to awaken,VB,vóna,lang6,uvónãmũ,0.7273,search,43,6
to evoke/to awaken,VB,vóna,lang6,uvónãmũ,0.7273,search,66,5
to evoke/to awaken,VB,vóna,lang7,vvóròngò,0.5,search,76,8
to evoke/to awaken,VB,vóna,lang7,úvónõ̀mṹ,0.5455,search,76,8
to evoke/to awaken,VB,vóna,lang7,úvónõ̀mṹ,0.5455,search,106,6
morning,NN,kúrumuvóruma,lang4,kúúrúmṹvórúmã,0.96,search,38,9
rock,NN,kárunu,lang7,kòrúnṹgòrúnṹ,0.5556,search,88,5
to roll/float,VB,némi,lang2,némímí,0.8,search,71,5
to roll/float,VB,némi,lang2,íngàmímí,0.5,search,71,5
to roll/float,VB,némi,lang2,élì,0.5714,search,109,7
to roll/float,VB,némi,lang2,ínémíqgìmì,0.5714,search,109,7
to roll/float,VB,némi,lang3,Nĩ́lú,0.5,search,15,8
to roll/float,VB,némi,lang3,mẽlímẽlí,0.5,search,15,8
to roll/float,VB,némi,lang3,ínẽ́mĩ,0.8889,search,15,8
to roll/float,VB,némi,lang3,àvérímã̀mĩ,0.4615,search,15,8
to roll/float,VB,némi,lang4,nẽ́mĩ́mĩ,0.8,search,49,5
to roll/float,VB,némi,lang5,inémimi,0.7273,search,25,5
downward,RB,márugulu,lang5,Kàrunugo,0.5,search,25,5
downward,RB,márugulu,lang5,màrugulu,1.0,search,25,5
downward,RB,márugulu,lang5,màrugulu,1.0,search,95,6
downward,RB,márugulu,lang5,dngàrunubàrolulu,0.5,search,95,6
baboon,NN,babún,lang5,ngbàvúnàgo,0.5333,search,40,7
wind,NN,zéliri,lang5,dngéliriqge,0.5882,search,95,6
star,NN,félirina,lang7,Hérì,0.5,search,2,7
star,NN,félirina,lang7,kélírínĩ,0.75,search,20,6
night,NN,mulunozólunu,lang7,mṹlúnũ̀ngólúnṹnṹ,0.7407,search,23,7
lunch,NN,zálumuzólunu,lang3,tàzàlúmṹzólúnṹgo,0.8571,search,85,2
lunch,NN,zálumuzólunu,lang6,dzalumũzólunũ,0.96,search,11,9
lunch,NN,zálumuzólunu,lang6,umãzumãmũ,0.4762,search,11,9
top secret,JJ,mágupúrumanulu,lang2,nàrúmànàrúmàlú,0.6429,search,1,6
top secret,JJ,mágupúrumanulu,lang2,púúrúmúnú,0.6087,search,1,6
top secret,JJ,mágupúrumanulu,lang5,kórumunu,0.4545,search,82,6
top secret,JJ,mágupúrumanulu,lang6,súmũrunũ,0.5455,search,24,6
top secret,JJ,mágupúrumanulu,lang6,lúzumũmũ,0.4545,search,24,6
top secret,JJ,mágupúrumanulu,lang7,úkòngúmṹmṹlú,0.5385,search,45,6
to rise,VB,vóvuma,lang4,úvórúzàgùmũ,0.4706,search,76,7
to rise,VB,vóvuma,lang5,bvórungila,0.5,search,48,9
to rise,VB,vóvuma,lang5,àvórungàmu,0.5,search,60,5
present/gift,NN,póruma,lang5,póruma,1.0,search,70,6
present/gift,NN,póruma,lang5,utórumumu,0.5333,search,70,6
personal time,NN,múranuzólunu,lang3,tàzàlúmṹzólúnṹgo,0.5714,search,85,2
personal time,NN,múranuzólunu,lang4,Mã̀gúzúúràzórùnã̀ràgùùng,0.5294,search,6,6
personal time,NN,múranuzólunu,lang7,mṹṹrònṹngólúnṹ,0.7692,search,22,4
personal time,NN,múranuzólunu,lang7,hólúnṹ,0.5556,search,98,6
to sacrifice,VB,téramadérimi,lang7,údéròmõ̀dérímĩ́mĩ,0.6667,search,22,4
unique/extraordinary,JJ,zórazalu,lang2,ngóràngàlú,0.6667,search,107,5
unique/extraordinary,JJ,zórazalu,lang3,tàzórúzílú,0.6667,search,50,9
unique/extraordinary,JJ,zórazalu,lang5,dngóràngàlu,0.6316,search,45,6
unique/extraordinary,JJ,zórazalu,lang6,tóralunãrumãgo,0.4545,search,33,6
unique/extraordinary,JJ,zórazalu,lang6,bvórã,0.4615,search,33,6
unique/extraordinary,JJ,zórazalu,lang6,dzórazalu,0.9412,search,33,6
unique/extraordinary,JJ,zórazalu,lang6,bvóramũ,0.5333,search,86,6
unique/extraordinary,JJ,zórazalu,lang6,dzórazalu,0.9412,search,86,6
everything,NN,mógospórumu,lang2,úngólúmúmú,0.4762,search,5,9
everything,NN,mógospórumu,lang4,Mṍgùspórúmṹ,0.9091,search,88,7
everything,NN,mógospórumu,lang7,mṍgùhpórúmṹ,0.8182,search,39,8
everything,NN,mógospórumu,lang7,Mṍgùhpórúmṹgòòg,0.6923,search,66,3
everything,NN,mógospórumu,lang7,úbórùmṹmṹ,0.5,search,66,3
everything,NN,mógospórumu,lang7,Mṍgùhpórúmṹ,0.8182,search,93,5
everything,NN,mógospórumu,lang7,mṍgùnṹ,0.5882,search,93,5
book,NN,ládamóluru,lang3,nĩ́lóràdàgo,0.5,search,40,3
book,NN,ládamóluru,lang3,nṍdúrú,0.5,search,40,3
book,NN,ládamóluru,lang3,úgàzúmṹdàrúmṹmṹ,0.48,search,40,3
